,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty,macd,signal,macdHisto,twentyeightDayVol
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
9,74.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
10,74.87,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
11,75.65,75.68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
12,76.43,76.38,75.19,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
13,76.62,76.56,75.53,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
14,76.05,76.05,75.26,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
15,75.87,75.89,75.25,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
16,75.71,75.74,75.23,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
17,75.72,75.74,75.31,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
18,75.83,75.83,75.45,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
19,75.75,75.76,75.45,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
20,76.34,76.3,75.95,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
21,76.4,76.37,76.06,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
22,75.96,75.98,75.78,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
23,75.68,75.72,75.59,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
24,75.82,75.84,75.71,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
25,76.23,76.21,76.04,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
26,76.68,76.63,76.42,75.86,0.0,0.0,0.0,0.0,0.5600000000000023,1.2744444444444427,-0.7144444444444404,0.0
