,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,73.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,74.45,74.17,0.0,0.0,0.0,0.0,0.0,0.0
11,75.36,74.71,0.0,0.0,0.0,0.0,0.0,0.0
12,76.07,75.7,74.79,0.0,0.0,0.0,0.0,0.0
13,77.09,76.42,75.45,0.0,0.0,0.0,0.0,0.0
14,77.42,77.12,76.16,0.0,0.0,0.0,0.0,0.0
15,77.39,77.06,76.28,0.0,0.0,0.0,0.0,0.0
16,77.22,77.17,76.67,0.0,0.0,0.0,0.0,0.0
17,76.86,77.01,76.74,0.0,0.0,0.0,0.0,0.0
18,76.81,76.75,76.88,0.0,0.0,0.0,0.0,0.0
19,76.53,76.76,76.84,0.0,0.0,0.0,0.0,0.0
20,76.35,76.42,76.6,0.0,0.0,0.0,0.0,0.0
21,76.34,76.58,76.81,0.0,0.0,0.0,0.0,0.0
22,76.02,76.38,76.63,0.0,0.0,0.0,0.0,0.0
23,75.67,75.84,76.39,0.0,0.0,0.0,0.0,0.0
24,75.76,75.56,76.04,0.0,0.0,0.0,0.0,0.0
25,75.9,75.82,75.78,0.0,0.0,0.0,0.0,0.0
26,76.2,76.09,75.82,75.55,0.0,0.0,0.0,0.0
27,76.51,76.43,76.22,75.81,0.0,0.0,0.0,0.0
