,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty,macd,signal,macdHisto,twentyeightDayVol
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
9,100.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
10,100.43,100.72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
11,100.49,100.72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
12,100.58,100.76,100.63,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
13,100.56,100.71,100.61,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
14,100.77,100.88,100.77,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
15,101.1,101.16,101.02,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
16,101.16,101.2,101.08,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
17,101.42,101.43,101.29,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
18,101.77,101.75,101.58,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
19,103.67,103.48,103.07,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
20,105.09,104.81,104.26,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
21,105.97,105.66,105.06,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
22,106.09,105.82,105.29,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
23,106.76,106.48,105.93,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
24,106.51,106.31,105.87,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
25,106.04,105.92,105.61,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
26,105.4,105.36,105.18,103.2,0.0,0.0,0.0,0.0,1.980000000000004,1.5533333333333355,0.4266666666666685,0.0
