,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,100.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,100.73,100.72,0.0,0.0,0.0,0.0,0.0,0.0
11,100.65,100.66,0.0,0.0,0.0,0.0,0.0,0.0
12,100.74,100.66,100.66,0.0,0.0,0.0,0.0,0.0
13,100.61,100.76,100.69,0.0,0.0,0.0,0.0,0.0
14,100.47,100.6,100.67,0.0,0.0,0.0,0.0,0.0
15,100.51,100.58,100.81,0.0,0.0,0.0,0.0,0.0
16,100.78,100.7,100.83,0.0,0.0,0.0,0.0,0.0
17,101.03,100.84,100.8,0.0,0.0,0.0,0.0,0.0
18,101.24,101.18,100.91,0.0,0.0,0.0,0.0,0.0
19,101.47,101.43,101.17,0.0,0.0,0.0,0.0,0.0
20,102.72,102.45,102.19,0.0,0.0,0.0,0.0,0.0
21,103.84,103.53,103.03,0.0,0.0,0.0,0.0,0.0
22,104.79,104.41,103.73,0.0,0.0,0.0,0.0,0.0
23,105.46,104.97,104.28,0.0,0.0,0.0,0.0,0.0
24,106.33,105.86,105.01,0.0,0.0,0.0,0.0,0.0
25,106.68,106.25,105.39,0.0,0.0,0.0,0.0,0.0
26,106.99,106.43,105.69,102.99,0.0,0.0,0.0,0.0
27,107.03,106.57,105.79,103.07,0.0,0.0,0.0,0.0
